GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.chat,ChatService,150,0,18,0,35,0,13,0,4,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.chat,ChatMessageDTO,61,0,6,0,18,0,13,0,10,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.chat,ChatMessage,32,3,10,0,7,1,7,1,2,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration.jwt,AuthEntryPointJwt,48,7,0,0,11,2,1,2,1,2
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration.jwt,JwtUtils,143,7,0,0,27,2,5,2,5,2
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration.jwt,AuthTokenFilter,70,3,8,0,17,1,6,1,2,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.map,MapController,94,0,10,0,19,0,9,0,4,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.map,MapService,413,0,30,0,67,0,22,0,7,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.map,BattleService,44,0,0,0,12,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration,ExceptionHandlerConfiguration,19,0,0,0,5,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration,WebConfig,52,0,0,0,9,0,3,0,3,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration,SecurityConfiguration,0,319,0,0,0,37,0,10,0,10
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration,OpenApiConfiguration,0,3,0,0,0,1,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration,GenericIdToEntityConverter,51,34,10,0,10,7,7,3,2,3
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.match.lobby,LobbyService,219,15,2,0,48,6,14,1,13,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.deck,DeckService,164,18,6,0,42,6,12,2,9,2
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.deck,DeckController,26,9,2,0,7,4,3,1,2,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.deck,DeckInGame,27,3,2,0,7,1,2,1,1,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.deck,Deck,14,0,0,0,4,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration.services,UserDetailsServiceImpl,18,3,0,0,3,1,2,1,2,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.configuration.services,UserDetailsImpl,66,30,6,0,17,11,11,5,8,5
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.players,PlayerService,26,6,0,0,6,3,5,1,5,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.players,Player,0,3,0,0,0,1,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.statistics,Statistic,0,19,0,0,0,9,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.statistics,StatisticWithPlayerDTO,57,0,0,0,13,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.statistics,StatisticController,0,6,0,0,0,3,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.statistics,StatisticService,0,12,0,0,0,5,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.statistics,StatisticDTO,65,0,0,0,14,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.match,MatchService,146,0,2,0,37,0,16,0,15,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.match,Match,199,11,42,0,35,5,31,1,10,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.match,MatchController,162,0,4,0,38,0,18,0,16,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.match,MatchStatus,0,21,0,0,0,2,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba,GameInitializer,12,0,0,0,2,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba,GameApplication,5,3,0,0,2,1,1,1,1,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.auth.payload.response,UpdateResponse,27,0,0,0,10,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.auth.payload.response,JwtResponse,15,21,0,0,1,8,1,1,1,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.auth.payload.response,MessageResponse,6,0,0,0,3,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.user,UserService,9,115,0,2,3,22,1,14,1,13
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.user,Authorities,0,3,0,0,0,1,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.user,MiniUserDTO,18,0,0,0,7,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.user,User,97,0,20,0,17,0,14,0,4,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.user,AuthoritiesService,0,32,0,0,0,8,0,5,0,5
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.user,UserRestController,160,12,8,0,28,5,10,1,6,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.developers,DevelopersController,30,3,2,0,11,1,3,1,2,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.util,CallMonitoringAspect,83,0,4,0,24,0,9,0,7,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.util,RestPreconditions,17,0,2,0,5,0,3,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.util,Checkers,66,12,10,0,16,5,10,1,5,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.util,EntityUtils,32,0,6,0,6,0,5,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.config,WebSocketConfig,40,0,0,0,6,0,3,0,3,0
